MPSecID,Symbol,SecuritySubType,MaturityDate,MaturityDateBack,EntryType,EntryPrice,EntrySize,ReferenceID,EntryRate,TransactTime,NetChangePx,EntryLegPriceNear
10277211180615000000,GIS1D,S,20180615,00000000,4,51.797300,2.00,300318058000014,0.017899,2018-02-27 14:52:26.443000,0.177300,0
10277111180615000000,GD1D,S,20180615,00000000,4,228.030000,1.00,300218058000008,0.012149,2018-02-27 14:52:36.369000,0.360000,0
10373611180615000000,JBLU1D,S,20180615,00000000,4,21.910000,3.00,300118058000013,0.030635,2018-02-27 14:52:39.118000,0.100000,0
10282711180316000000,JPM1D,S,20180316,00000000,4,117.957800,21.00,300218058000009,0.015541,2018-02-27 14:52:44.676000,-0.882200,0
10273711180615000000,KO1D,S,20180615,00000000,4,44.330000,1.00,300218058000010,0.021898,2018-02-27 14:52:51.076000,0.130000,0
10273911180615000000,MDT1D,S,20180615,00000000,4,82.682200,1.00,300218058000011,0.016662,2018-02-27 14:53:03.214000,-0.057800,0
10285811180615000000,AMGN1D,S,20180615,00000000,4,190.530000,1.00,300318058000015,0.020547,2018-02-27 14:53:19.183000,1.290000,0
10270711180615000000,MCD1D,S,20180615,00000000,4,164.670000,1.00,300118058000014,0.022159,2018-02-27 14:53:35.048000,0.450000,0
13491911180615000000,MET1D,S,20180615,00000000,4,48.300000,1.00,300218058000012,0.020784,2018-02-27 14:53:36.151000,0.570000,0
13125911180615000000,AABA1D,S,20180615,00000000,4,77.400000,1.00,300118058000015,0.037805,2018-02-27 14:54:09.364000,-0.980000,0
10271211180615000000,PG1D,S,20180615,00000000,4,81.976300,1.00,300118058000016,0.021899,2018-02-27 14:54:18.055000,0.026300,0
10271111180615000000,PFE1D,S,20180615,00000000,4,37.280000,2.00,300318058000016,0.021548,2018-02-27 14:54:22.648000,0.050000,0
10270911180615000000,MSFT1D,S,20180615,00000000,4,95.930000,1.00,300218058000013,0.021633,2018-02-27 14:54:30.002000,0.140000,0
10457711180615000000,FB1D,S,20180615,00000000,4,184.570000,1.00,300118058000017,0.022493,2018-02-27 14:54:41.429000,-1.080000,0
10560811180615000000,SPG1D,S,20180615,00000000,4,161.144500,1.00,300118058000018,0.021487,2018-02-27 14:55:02.272000,1.454500,0
10325511180615000000,V1D,S,20180615,00000000,4,125.298400,1.00,300218058000014,0.021326,2018-02-27 14:55:02.290000,0.238400,0
10285311180615000000,X1D,S,20180615,00000000,4,44.342200,1.00,300218058000015,0.014477,2018-02-27 14:55:02.326000,-0.197800,0
10285711180615000000,AAPL1D,S,20180615,00000000,4,180.390000,1.00,300318058000017,0.022084,2018-02-27 14:55:15.960000,0.720000,0
10273311180316000000,HD1D,S,20180316,00000000,4,188.755900,6.00,300118058000019,0.013927,2018-02-27 14:55:43.903000,0.185900,0
10294311180615000000,BP1D,S,20180615,00000000,4,40.129700,2.00,300118058000020,0.018307,2018-02-27 14:56:49.602000,-0.310300,0
10294311180615000000,BP1D,S,20180615,00000000,4,40.206400,2.00,300118058000021,0.024698,2018-02-27 14:56:51.624000,-0.233600,0
10294311180615000000,BP1D,S,20180615,00000000,4,40.206400,2.00,300118058000022,0.023020,2018-02-27 14:57:51.486000,-0.233600,0
12072111180615000000,BIIB1D,S,20180615,00000000,4,293.270000,1.00,300318058000018,0.024561,2018-02-27 14:58:51.818000,2.130000,0
10294311180615000000,BP1D,S,20180615,00000000,4,40.206400,2.00,300118058000023,0.023020,2018-02-27 14:58:51.936000,-0.233600,0
10294311180615000000,BP1D,S,20180615,00000000,4,40.206400,2.00,300118058000024,0.022182,2018-02-27 14:59:51.221000,-0.233600,0
11466111180316000000,PLD1D,S,20180316,00000000,4,60.871900,2.00,300118058000025,0.000651,2018-02-27 15:00:36.361000,-0.478100,0
10294311180615000000,BP1D,S,20180615,00000000,4,40.206400,2.00,300118058000026,0.020507,2018-02-27 15:00:52.790000,-0.233600,0
10389611180615000000,DAL1D,S,20180615,00000000,4,55.130000,1.00,300218058000016,0.022471,2018-02-27 15:00:59.136000,0.230000,0
10294311180615000000,BP1D,S,20180615,00000000,4,40.206400,2.00,300118058000027,0.022182,2018-02-27 15:01:52.467000,-0.233600,0
10272211180316000000,CL1D,S,20180316,00000000,4,70.558600,2.00,300318058000019,0.008463,2018-02-27 15:02:09.517000,-0.551400,0
11471311180615000000,KHC1D,S,20180615,00000000,4,69.930000,1.00,300318058000020,0.021058,2018-02-27 15:02:13.937000,-0.060000,0
10294311180615000000,BP1D,S,20180615,00000000,4,40.206400,2.00,300118058000028,0.022182,2018-02-27 15:02:54.072000,-0.233600,0
10294311180615000000,BP1D,S,20180615,00000000,4,40.206400,2.00,300118058000029,0.021345,2018-02-27 15:03:54.480000,-0.233600,0
10288511180316000000,AMD1D,S,20180316,00000000,4,12.700000,2.00,300118058000030,-0.081856,2018-02-27 15:04:21.774000,0.270000,0
10294311180615000000,BP1D,S,20180615,00000000,4,40.206400,2.00,300118058000031,0.023860,2018-02-27 15:04:56.238000,-0.233600,0
10302911180316000000,PCG1D,S,20180316,00000000,4,41.150000,1.00,300318058000021,0.030480,2018-02-27 15:05:08.449000,0.070000,0
10273311180420000000,HD1D,S,20180420,00000000,4,189.230000,5.00,300118058000032,0.016425,2018-02-27 15:06:58.536000,0.440000,0
10300711180615000000,DTE1D,S,20180615,00000000,4,104.570000,1.00,300318058000022,0.020480,2018-02-27 15:07:31.183000,0.420000,0
10297111180615000000,NEE1D,S,20180615,00000000,4,155.590000,1.00,300118058000033,0.020648,2018-02-27 15:07:35.698000,0.490000,0
10307411180615000000,PNW1D,S,20180615,00000000,4,80.880000,1.00,300118058000034,0.034484,2018-02-27 15:08:35.073000,0.290000,0
13481511180316000000,SVU1D,S,20180316,00000000,4,14.294200,5.00,300118058000035,0.064765,2018-02-27 15:12:23.098000,0.324200,0
13481511180316000000,SVU1D,S,20180316,00000000,4,14.298300,5.00,300118058000036,0.070773,2018-02-27 15:12:36.907000,0.328300,0
